Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200800000001,8,1,22,1015,1,2,1,1,6,424,RUE SAINT JULIEN,M,45.154,-0.826,330,9,0.0,0.0,,1,0,0.0,0.0,0,1,2,0,25,1,0,1,0
200800000002,8,1,10,815,1,1,1,1,7,348,,M,0.0,0.0,330,3,1215.0,0.0,,2,2,71.0,0.0,0,0,1,0,63,1,0,3,0
200800000003,8,1,16,800,2,2,1,1,3,350,RD 231 Rue de l'hôpital,M,44.782,-0.125,330,3,231.0,0.0,,2,2,0.0,0.0,0,1,1,0,60,2,0,1,3
200800000004,8,1,20,1100,1,1,1,1,2,394,,M,44.914,-0.199,330,3,243.0,0.0,,2,2,2.0,900.0,0,1,3,0,67,1,0,1,0
200800000005,8,1,25,645,5,2,1,1,3,394,La Moleone,M,44.9,-0.155,330,3,243.0,0.0,,2,0,0.0,0.0,0,1,1,0,57,1,0,1,0
200800000006,8,1,3,1000,1,1,1,8,3,14,,M,0.0,0.0,330,3,22.0,0.0,,2,2,48.0,200.0,0,1,2,0,48,2,0,1,0
200800000007,8,1,5,15,3,2,3,2,3,261,Le Brandat,M,44.953,-0.09,330,3,17.0,0.0,,2,0,18.0,280.0,0,2,1,0,63,2,5,1,0
200800000894,8,1,24,1700,1,2,1,1,3,56,16 AV GENERAL DE GAULLE,M,44.916,-0.635,330,3,1.0,2.0,D,2,2,83.0,0.0,0,0,0,0,70,1,0,1,0
200800000895,8,1,25,1715,1,1,1,1,6,56,,M,44.94,-0.614,330,3,210.0,0.0,,2,0,0.0,0.0,0,1,1,0,0,1,0,1,0
200800000896,8,1,30,900,1,2,1,1,3,56,RUE GUYENEMER,M,44.928,-0.617,330,4,0.0,0.0,,2,2,0.0,0.0,0,1,1,0,0,1,0,1,0
200800000897,8,1,24,1945,5,2,1,1,6,162,216 AVENUE DU MEDOC,M,0.0,0.0,330,3,2215.0,0.0,,2,2,1.0,700.0,0,1,1,0,100,6,0,1,0
200800000898,8,1,19,2045,3,1,1,1,7,449,,M,0.0,0.0,330,3,107.0,0.0,,2,2,0.0,0.0,0,1,1,0,58,1,0,1,0
200800000899,8,1,24,615,3,1,1,5,1,449,,M,0.0,0.0,330,3,107.0,0.0,,2,0,0.0,0.0,0,1,1,0,57,1,0,1,0
200800000900,8,1,12,530,3,1,1,2,1,341,,M,45.071,-0.487,330,3,137.0,0.0,,2,2,8.0,400.0,0,1,1,0,75,2,0,1,0
200800000901,8,1,23,1845,2,2,1,1,6,67,7bis av Fançois DALEAU,M,45.045,-0.559,330,3,669.0,0.0,,2,0,0.0,0.0,0,1,1,0,85,1,6,1,0
200800000902,8,1,9,1045,1,1,1,1,5,382,,M,45.137,-0.487,330,3,22.0,0.0,,2,2,0.0,0.0,0,1,1,0,75,1,0,1,0
200800000903,8,1,13,2215,3,2,1,1,1,123,Le bourg,M,45.096,-0.419,330,3,249.0,0.0,,2,0,0.0,0.0,0,1,1,0,50,1,0,1,0
200800000904,8,1,10,815,2,2,2,1,3,3,rue de ST DENIS,M,44.949,-0.489,330,4,0.0,0.0,,0,2,0.0,0.0,0,1,1,0,70,1,0,1,0
200800000905,8,1,14,815,1,2,1,1,3,433,AVENUE DE LESCART,M,0.0,0.0,330,3,242.0,0.0,,2,0,0.0,0.0,0,1,1,0,80,1,5,1,0
200800000906,8,1,15,1445,5,2,1,9,2,433,avenue de la république,M,44.922,-0.429,330,2,242.0,0.0,,2,0,0.0,0.0,0,1,1,0,0,2,5,1,0
