Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202300000064,4,5,2023,15:50,1,033,33019,2,1,1,3,38bis Route de Bordeaux,44.687508,-1.001371,3,,-1,,-1,2,1,1,10,300,1,, -1,1,0,5,30
202300000193,30,11,2023,07:20,4,033,33249,1,1,1,7,ROUTE NATIONALE 230,44.88069,-0.51049,2,ROUTE NATIONALE 230,0,,3,6,0,1,43,827,1,,"13,5",2,0,1,90
202300000195,30,11,2023,06:00,3,033,33080,1,1,3,6,AUTOROUTE A 62,44.73252547,-0.53105056,1,AUTOROUTE A 62,0,,3,4,0,1,4,800,1,,10,2,0,1,130
202300000268,26,3,2023,19:15,1,033,33249,2,3,2,3,C̫te de la Garonne,44.88685,-0.51951,4,COTE DE LA GARONNE,0,,3,3,0,1, -1, -1,1,, -1,2,5,1,50
202300000268,26,3,2023,19:15,1,033,33249,2,3,2,3,C̫te de la Garonne,44.88685,-0.51951,4,RUE DU MANOIR,0,,2,2,0,2, -1, -1,3,, -1,2,5,1,50
202300000324,29,11,2023,19:30,5,033,33318,2,3,2,3,Avenue Antoine Becquerel,44.78654743,-0.64460725,4,AVE ANTOINE BECQUEREL,0,,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300000324,29,11,2023,19:30,5,033,33318,2,3,2,3,Avenue Antoine Becquerel,44.78654743,-0.64460725,4,RUE HENRI LE CHATELIER,0,,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300000325,29,11,2023,18:00,5,033,33069,2,1,3,6,Avenue Victor Hugo,44.86652629,-0.59033677,4,AVE VICTOR HUGO,0,,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300000327,29,11,2023,11:25,1,033,33522,2,1,1,6,Route de Toulouse,44.8068,-0.5732,6,TOULOUSE (RTE DE) (55-271) IMPAIRS,0,,-1, -1,0,1, -1, -1,1,, -1,1,0,1,30
202300000329,29,11,2023,09:15,1,033,33069,2,6,1,3,Rue Georges Lafont,44.86833,-0.59831,4,RUE EMILE COMBES,0,,2,2,0,1, -1, -1,2,, -1,1,5,1,30
202300000329,29,11,2023,09:15,1,033,33069,2,6,1,3,Rue Georges Lafont,44.86833,-0.59831,4,RUE GEORGES LAFONT,0,,2,2,0,1, -1, -1,1,, -1,1,5,1,30
202300000359,9,6,2023,18:00,1,033,33205,1,1,1,2,A62 PK 021.100 sens BORDEAUX-TOULOUSE,44.62455402,-0.39741755,1,A62,-1,,1,4,0,1,21,100,1,, -1,1,0,1,130
202300000362,11,6,2023,00:30,5,033,33005,2,1,1,6,292 Boulevard de la R̩publique,44.747457,-1.105526,3,3,-1,,2,2,0,1,81,850,1,,"5,5",1,0,1,50
202300000384,11,6,2023,07:30,1,033,33240,2,1,1,6,12 Avenue Pierre Mendes France,45.31291536,-0.9412998,3,1215,0,D,2,2,0,1,63,400,3,,"5,5",1,0,3,50
202300000386,11,6,2023,17:45,1,033,33100,1,2,1,1,Lieu Dit la Pistolette,45.140876,-0.597411,3,137,0,D,2,2,0,1,21,1,1,,7,1,5,1,80
202300000386,11,6,2023,17:45,1,033,33100,1,2,1,1,Lieu Dit la Pistolette,45.140876,-0.597411,3,22,0,D,2,2,0,1,5,288,1,,7,1,5,1,80
202300000574,26,10,2023,20:20,5,033,33281,2,1,3,1,Avenue Pierre Mend̬s-France,44.82081,-0.63521,4,AVE PIERRE MENDES FRANCE,0,,2,2,1,1, -1, -1,1,, -1,2,-1,5,30
202300000577,26,10,2023,19:50,5,033,33162,2,3,3,3,Avenue d'Eysines,44.87186411,-0.63136116,4,EYSINES (AVE D),0,,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300000577,26,10,2023,19:50,5,033,33162,2,3,3,3,Avenue d'Eysines,44.87186411,-0.63136116,4,,-1,,2,2,-1,1, -1, -1,1,, -1,2,9,1,-1
202300000577,26,10,2023,19:50,5,033,33162,2,3,3,3,Avenue d'Eysines,44.87186411,-0.63136116,4,RUE SOUBIRAS CAUD,0,,2,2,0,1, -1, -1,1,, -1,2,0,1,50
202300000599,25,9,2023,08:40,1,033,33318,2,6,1,3,Avenue du Haut L̩v̬que,44.78355,-0.65243,4,AVE DU HAUT LEVEQUE,0,,2,3,3,1, -1, -1,1,, -1,1,9,1,50
202300000599,25,9,2023,08:40,1,033,33318,2,6,1,3,Avenue du Haut L̩v̬que,44.78355,-0.65243,4,,-1,,2, -1,0,1, -1, -1,2,, -1,1,0,1,-1
202300000781,6,5,2023,18:30,1,033,33122,1,2,1,3,Route de Saucats,44.718723,-0.739635,1,211,0,D,3,2,0,1,41,940,1,,0,1,0,1,70
202300000781,6,5,2023,18:30,1,033,33122,1,2,1,3,Route de Saucats,44.718723,-0.739635,1,,-1,,1,1,-1,2, -1, -1,3,, -1,1,3,1,-1
202300000827,7,5,2023,06:30,2,033,33243,2,9,1,6,D1089,44.911108,-0.213761,3,,-1,,-1,0,0,1, -1, -1,1,, -1,1,0,4,-1
202300000827,7,5,2023,06:30,2,033,33243,2,9,1,6,D1089,44.911108,-0.213761,3,,-1,,-1,2,0,1,27,940,2,,7,1,0,3,70
