Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201700001163,17,5,16,1040,1,1,3,1.0,3.0,29,avenue du sauternais,M,44.59534,-0.75257,330,3,108,,,2.0,3.0,36.0,710.0,,,,,,,5.0,0.0,
201700001164,17,7,15,1845,1,1,1,1.0,1.0,498,RD 108 - PR 040+400,M,44.56053,-0.81701,330,3,108,,,2.0,2.0,40.0,400.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,99.0
201700001165,17,8,27,1930,1,1,3,1.0,1.0,498,RD3 / Ch.Jacques,M,44.58103,-0.88497,330,3,3,,,2.0,2.0,108.0,458.0,0.0,2.0,0.0,0.0,10.0,1.0,,1.0,
201700001166,17,9,22,1720,1,1,1,1.0,7.0,436,Route du Barp,M,44.5435,-0.68115,330,3,5,,,2.0,2.0,77.0,385.0,0.0,1.0,3.0,0.0,62.0,1.0,0.0,3.0,99.0
201700001167,17,9,29,2040,4,1,2,1.0,3.0,436,RD651/RD110E6,M,44.52141,-0.62685,330,3,110,,E,2.0,2.0,5.0,21.0,,,1.0,,,,,,
201700001168,17,11,14,1615,1,1,1,1.0,2.0,29,Avenue du Médoc Départem,M,44.6311,-0.79402,330,3,5,,,2.0,2.0,64.0,100.0,1.0,1.0,0.0,0.0,106.0,1.0,0.0,5.0,99.0
201700001169,17,1,14,1150,1,2,3,1.0,6.0,51,rue jean moulin,M,44.63544,-0.96348,330,4,,,,2.0,2.0,,,,,,,,,,,
201700001170,17,1,23,1710,1,2,1,1.0,6.0,51,rue du taudin,M,44.6473,-0.96831,330,4,0,,,2.0,2.0,,,0.0,2.0,0.0,0.0,10.0,1.0,,,
201700001171,17,1,28,1700,1,1,5,8.0,3.0,284,D216 / A660,M,44.62898,-0.89989,330,1,660,,,3.0,4.0,6.0,760.0,,,,,,,3.0,,
201700001172,17,2,16,1310,1,1,1,1.0,1.0,284,PK14+100 RD 216,M,44.58473,-0.95048,330,3,216,,,2.0,2.0,14.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201700001173,17,3,3,1730,1,2,1,1.0,3.0,51,53 Av côte d'Argent,M,44.63579,-0.97284,330,3,650,,,2.0,3.0,2.0,624.0,2.0,1.0,1.0,0.0,90.0,1.0,0.0,1.0,99.0
201700001174,17,4,9,115,5,2,3,1.0,7.0,19,rue cante alaoude,M,44.69074,-1.01539,330,4,,,,2.0,2.0,,,,,,,,,,,
201700001175,17,4,10,710,2,1,1,5.0,1.0,19,RD5E5,M,44.71806,-0.89408,330,3,5,,E,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201700001176,17,4,13,800,1,2,2,1.0,3.0,51,R.Jaures/All.Louisianes,M,44.64189,-0.96875,330,4,0,,,2.0,2.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,1.0,3.0
201700001177,17,5,18,1640,1,1,1,1.0,5.0,284,RD5-PR57+580 REEL,M,44.67977,-0.84231,330,3,5,,,2.0,2.0,57.0,493.0,0.0,1.0,1.0,0.0,10.0,1.0,,1.0,
201700001178,17,5,20,1145,1,1,1,1.0,1.0,51,RD1250,M,44.65369,-0.93313,330,3,1250,,,2.0,2.0,36.0,50.0,0.0,1.0,1.0,0.0,105.0,1.0,0.0,1.0,99.0
201700001179,17,6,11,705,1,1,1,1.0,6.0,19,RD5 PK 48+348,M,44.74717,-0.91065,330,3,5,,,2.0,2.0,48.0,348.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,3.0,99.0
201700001180,17,7,17,1645,1,1,1,1.0,3.0,284,route des Douils,M,44.63797,-0.8875,330,3,216,,,2.0,2.0,6.0,85.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201700001181,17,8,9,1030,1,2,2,1.0,3.0,51,R.Prieuré de/R.Gaillards,M,44.64979,-0.98529,330,4,,,,2.0,2.0,,,,,1.0,,,,,,
201700001182,17,8,9,1110,1,2,1,8.0,6.0,284,Avenue de la République,M,44.60572,-0.93789,330,3,3,,,2.0,2.0,103.0,703.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201700001183,17,10,19,1410,1,1,1,1.0,2.0,555,Av. de la Côte d'Argent,M,44.6835,-0.87177,330,3,1250,,,2.0,2.0,30.0,150.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0
201700001184,17,10,19,1830,1,2,1,1.0,6.0,51,allée des louisianes,M,44.64278,-0.96939,330,4,0,,,2.0,2.0,,,0.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,99.0
201700001185,17,12,5,1710,1,1,1,1.0,4.0,284,29 route des Douils,M,44.63498,-0.8912,330,3,216,,,2.0,2.0,6.0,517.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201700001186,17,1,5,1830,5,2,1,1.0,6.0,56,220 Av Gal de Gaulle,M,44.9292,-0.63516,330,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201700001187,17,1,3,1942,3,1,1,1.0,1.0,56,D209 (Av Labarde),M,44.92752,-0.56217,330,3,209,,,2.0,2.0,14.0,722.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201700001188,17,1,10,1915,3,1,1,1.0,6.0,56,Avenue du port du Roy,M,44.91101,-0.5917,330,4,0,,,2.0,2.0,,,1.0,1.0,1.0,29.0,62.0,1.0,0.0,1.0,99.0
201700001189,17,3,3,2045,5,1,3,3.0,6.0,56,Av.PortduRoy/All.Flamand,M,44.91091,-0.59319,330,4,,,,2.0,2.0,,,,,1.0,,,,5.0,,
201700001190,17,4,21,2020,5,2,1,1.0,6.0,56,R.De Saint Exupery,M,44.92402,-0.60777,330,4,0,,,3.0,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,99.0
201700001191,17,4,27,1530,1,1,1,1.0,3.0,312,AV. LABARDE EXD209,M,44.9689,-0.55441,330,4,209,,,2.0,2.0,9.0,747.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,99.0
201700001192,17,6,20,900,1,1,1,1.0,3.0,519,EX RD1215,M,44.90219,-0.6851,330,4,1215,,,2.0,2.0,5.0,314.0,0.0,1.0,1.0,0.0,78.0,1.0,0.0,1.0,99.0
201700001193,17,7,1,2220,5,2,3,1.0,3.0,56,Av.Gal De Gaulle/R.Linas,M,44.92089,-0.63573,330,4,,,,2.0,2.0,,,0.0,1.0,0.0,0.0,15.0,0.0,,1.0,
201700001194,17,7,3,1230,1,2,1,1.0,6.0,519,118 avenue de la boétie,M,44.9042,-0.70031,330,4,0,,,2.0,2.0,,,2.0,1.0,1.0,0.0,44.0,1.0,0.0,1.0,99.0
201700001195,17,8,26,1130,1,2,9,1.0,3.0,56,place de l'église,M,44.90994,-0.63504,330,4,0,,,1.0,1.0,,,2.0,1.0,0.0,3.0,110.0,0.0,,,
201700001196,17,9,7,1800,1,2,3,1.0,3.0,56,Av.PortduRoy/R.collègeTe,M,44.91121,-0.61901,330,4,,,,2.0,2.0,,,,,1.0,,,,5.0,,
201700001197,17,9,9,905,1,2,3,2.0,5.0,519,AV Dame blanch/R Lagorce,M,44.90794,-0.65901,330,4,,,,2.0,2.0,,,0.0,1.0,,0.0,139.0,2.0,0.0,,99.0
201700001198,17,10,5,800,1,1,1,1.0,4.0,519,EX D1215,M,44.90608,-0.70019,330,4,1215,,,2.0,2.0,7.0,225.0,0.0,1.0,0.0,0.0,10.0,1.0,,1.0,
201700001199,17,3,16,1600,1,1,1,1.0,1.0,422,3256 avenue de bordeaux,M,44.81391,-0.7399,330,3,106,,,2.0,2.0,13.0,587.0,0.0,1.0,1.0,0.0,78.0,1.0,0.0,1.0,99.0
201700001200,17,3,18,1930,3,1,1,1.0,1.0,422,RD211 E2,M,44.8181,-0.75292,330,3,211,2.0,E,2.0,2.0,3.0,25.0,0.0,1.0,4.0,0.0,30.0,1.0,0.0,1.0,99.0
