Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201400002403,14,10,9,630,3,1,1,3.0,1,519,,M,0.0,0.0,330,3,1.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201400002404,14,3,3,1715,1,1,1,4.0,6,42,,M,0.0,0.0,330,3,1.0,,,2.0,2.0,82.0,800.0,0.0,1.0,1.0,0.0,72.0,9.0,0.0,3.0,0.0
201400002405,14,9,27,915,1,2,1,7.0,5,498,ROUTE DU CAPLANNE,M,0.0,0.0,330,3,108.0,,,2.0,0.0,46.0,300.0,0.0,2.0,1.0,0.0,62.0,1.0,0.0,1.0,3.0
201400002406,14,12,24,2015,3,1,1,1.0,5,498,,M,44.579,-0.882,330,3,3.0,,,2.0,2.0,109.0,50.0,0.0,0.0,1.0,0.0,74.0,1.0,0.0,1.0,99.0
201400002407,14,2,7,1215,1,2,1,1.0,1,555,31 rue Croix d'Hins,M,0.0,0.0,330,4,1.0,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201400002408,14,3,17,1100,1,2,1,1.0,6,19,31 all?e de Boissi?res,M,0.0,0.0,330,3,3.0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201400002409,14,6,17,1445,1,1,1,1.0,1,284,,M,0.0,0.0,330,3,216.0,,,2.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,99.0
201400002410,14,8,17,2315,3,1,1,1.0,6,51,,M,0.0,0.0,330,3,650.0,,,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,52.0,1.0,0.0,1.0,99.0
201400002411,14,8,22,2015,1,2,1,1.0,6,555,AVENUE D AQUITAINE,M,0.0,0.0,330,3,1250.0,,,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201400002412,14,10,29,1915,2,1,1,8.0,2,284,,M,0.0,0.0,330,3,3.0,,,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,150.0,1.0,2.0,1.0,0.0
201400002413,14,11,21,1115,5,1,1,1.0,1,284,,M,0.0,0.0,330,3,1.0,3.0,,2.0,2.0,106.0,400.0,0.0,1.0,2.0,0.0,62.0,1.0,0.0,1.0,0.0
201400002414,14,2,27,1215,1,2,1,8.0,1,56,AVENUE DU XI NOVEMBRE,M,44.914,-0.622,330,3,210.0,,,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201400002415,14,3,1,1545,1,2,1,1.0,3,312,RUE DE SEGUR,M,0.0,0.0,330,4,0.0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,1.0,5.0,1.0,99.0
201400002416,14,6,1,200,5,2,1,1.0,7,56,83 avenue du 11 novembre,M,0.0,0.0,330,3,210.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,1.0,0.0,3.0,0.0
201400002417,14,6,20,900,1,1,1,1.0,3,56,,M,0.0,0.0,330,3,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201400002418,14,8,25,1000,2,2,9,1.0,3,56,rue St Exup?ry,M,0.0,0.0,330,9,0.0,,,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201400002419,14,11,17,1845,5,2,1,3.0,3,56,CD 2 AVENUE DU GENERAL D,M,0.0,0.0,330,3,2.0,,,2.0,2.0,80.0,900.0,0.0,1.0,1.0,0.0,100.0,2.0,5.0,1.0,99.0
201400002420,14,4,4,1515,1,2,1,1.0,3,11,,M,44.778,-1.136,330,4,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201400002421,14,4,27,500,5,2,1,1.0,6,236,AV DU MONUMENT SALIENS,M,0.0,0.0,330,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,56.0,1.0,0.0,1.0,99.0
