IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z08AS;370;419;6050;-31.0;-23.0;-22.0;159;-2.0;16;-12.82;;Cenon 10 Avenue J. Jaurès;Sens Sortant;;
Z12AE;277;299;3616;-5.0;-6.0;-14.0;169;-3.0;28;1.36;;Bègles 99 Cours Victor Hugo;Sens Entrant;;
Z12AS;231;316;3333;7.0;1.0;-16.0;184;-6.0;28;2.51;;Bègles 99 Cours Victor Hugo;Sens Sortant;;
Z14BS;359;412;6082;7.0;5.0;-1.0;706;-6.0;48;;;Bordeaux Blvd A.Daney Latule  R.Maran;Sens Sortant;;
Z16CS;881;611;7970;-1.0;-7.0;-12.0;260;-1.0;40;-1.04;;Pessac Avenue de Canejan niveau rocade;Sens Sortant;;
Z17DS;359;487;3784;-11.0;-19.0;-15.0;146;-8.0;47;2.35;;Talence Avenue de Thouars (face au chateau);Sens Sortant;;
Z19CS;665;705;8658;-7.0;-2.0;-5.0;661;1.0;30;7.91;;Villenave d'Ornon Rue Pierre Proud'hon;Sens Sortant;;
Z19DS;534;530;5658;5.0;-5.0;-4.0;171;2.0;34;5.52;;Talence 177 chemin de Leysotte;Sens Sortant;;
Z20AE;602;655;8183;-11.0;-4.0;-8.0;192;-11.0;32;8.35;;Bordeaux 248 Avenue Tassigny;Sens Entrant;;
Z21CS;310;366;3983;-15.0;-24.0;-19.0;89;-42.0;36;8.88;;Le Bouscat 58 Avenue de Tivoli;Sens Sortant;;
Z22AS;356;731;6548;3.0;-2.0;-4.0;563;7.0;54;5.32;;Lormont 34 quai Elisabeth Dupeyron;Sens Sortant;;
Z22CS;795;820;13992;-14.0;20.0;-5.0;543;-8.0;38;6.36;;Lormont Avenue Kennedy Amitié;Sens Sortant;;
Z23AE;612;577;6717;2.0;-7.0;-2.0;149;-21.0;32;7.84;;Eysines 126 Avenue du Taillan;Sens Entrant;;
Z23EE;1136;1033;12606;-2.0;2.0;-8.0;687;10.0;58;-2.68;;Le Taillan-Médoc Route de Lacanau;Sens Entrant;;
Z26AE;749;730;9155;-8.0;-3.0;-4.0;425;6.0;33;-2.58;;Bègles Route de Courréjean;Sens Entrant;;
Z27AE;553;528;6110;-17.0;-21.0;-14.0;254;-10.0;40;0.29;;Pessac Avenue Pasteur niveau rocade;Sens Entrant;;
Z27AS;625;575;6521;;;;278;;41;;;Pessac Avenue Pasteur niveau rocade;Sens Sortant;;
Z28AE;829;606;8354;;;;514;;;;;Saint-Médard-en-Jalles Avenue de Capeyron;Sens Entrant;;
Z28AS;538;826;8000;;;;498;;;;;Saint-Médard-en-Jalles Avenue de Capeyron;Sens Sortant;;
Z29CS;785;1333;12027;-6.0;-8.0;-8.0;400;8.0;37;5.78;;Cenon Blvd de l'Entre-deux-Mers;Sens Sortant;;
