IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z10CT11;290;265;2883;0.1;-2.9;-8.5;;;;;;Bordeaux Rue Mouneyra après Dupeux;Sens Sortant;;
Z25CT24;74;103;973;4.7;-20.8;-6.6;;;;;;Bordeaux Brunet avant Brandenburg;Sens Entrant;;
Z10CT18;924;751;11757;2.9;-1.9;0.3;;;;;;Bordeaux Béchade après Quintin;Sens Entrant;;
Z25CT5;405;221;3037;-14.2;-13.3;3.6;;;;;;Bordeaux Cours Bricaud après Vergne;Sens Sortant;;
Z10CT2;777;852;11746;1.1;0.5;-0.7;;;;;;Bordeaux Blvd George V après Saignat;Boulevards Nord > Sud;;
Z26AE;751;704;8869;9.8;-1.7;-3.1;379;-5.8;;;;Bègles rte de Courréjean;Sens Entrant;;
Z10CT6;383;354;4361;-2.3;5.8;0.1;;;;;;Bordeaux Rue de Pessac après Audeguil;Sens Sortant;;
Z26AS;402;597;6605;8.2;-3.2;-4.8;342;-7.5;;;;Bègles rte de Courréjean;Sens Sortant;;
Z11CT1;242;355;3878;1.5;3.0;1.1;;;;;;Talence Cours Gambetta avant Lamartine;Sens Entrant;;
Z26CT5;280;245;3526;17.9;9.4;7.8;;;;;;Bordeaux Pallière avant Carle Vernet;Sens Entrant;;
Z11CT7;376;369;4756;-6.0;-2.1;-0.6;;;;;;Bordeaux Rue St Genès après Ségur;Sens Sortant;;
Z26CT7;117;113;1188;-3.5;1.0;-0.3;;;;;;Bègles Croizat après Lapelleterie;Sens Sortant;;
Z11CT8;231;275;3160;-1.0;2.9;1.8;;;;;;Talence Cours Gambetta avant Combes;Sens Sortant;;
Z27AS;355;593;6649;12.0;-4.8;-2.5;250;-5.7;42;2.4;;Pessac Av. Pasteur niveau rocade;Sens Sortant;;
Z11CT9;742;880;11951;2.4;2.9;0.9;;;;;;Talence Boulevard George V;Sud > Nord;;
Z27CT13;215;311;3433;0.4;-5.2;-1.9;;;;;;Pessac Haut Lévèque avant Matisse;Sud > Nord;;
Z12AE;215;254;3187;2.6;-10.6;-6.5;157;-4.9;27;-6.9;;Bègles 99 cours Victor Hugo;Sens Entrant;;
Z27CT14;449;468;5055;3.8;20.3;4.1;;;;;;Pessac Haut Lévèque avant Magellan;Nord > Sud;;
Z12CT10;652;760;9988;3.7;7.3;6.6;;;;;;Bordeaux Blvd Albert 1er après Cabié;Nord > Sud;;
Z27CT2;589;601;6590;3.4;3.7;1.9;;;;;;Pessac Pasteur après Haut-Lévêque;Sens Entrant;;
Z12CT12;821;775;11384;3.7;12.5;1.4;;;;;;Bordeaux Blvd Albert 1er après Daguin;Sud > Nord;;
Z27CT9;635;894;9709;3.7;9.1;-1.3;;;;;;Pessac Av. du Bourghail après Monbalon;Nord > Sud;;
Z12CT3;331;367;5340;-5.5;-5.6;-3.7;;;;;;Bordeaux Cours de la Somme après Rue Brun;Sens Sortant;;
Z28AE;451;585;8264;;3.1;1.6;501;-4.7;52;;;Saint-Médard-en-Jalles Av. de Capeyron;Sens Entrant;;
Z12CT9;554;553;8035;-0.4;-2.0;-0.4;;;;;;Bordeaux Blvd Roosevelt avant Toulouse;Nord > Sud;;
Z29AE;543;306;3766;17.4;-8.4;-1.3;83;9.5;51;-8.9;;Artigues Blvd de Feydeau;Sens Entrant;;
Z13CT1;521;552;9725;2.0;-3.5;-2.4;;;;;;Bordeaux Blvd Pierre 1er avant Hugo;Nord > Sud;;
