IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z10CT12;553;505;6693;-4,66%;-8,33%;-4,69%;;;;;;Bordeaux Rue Saignat avant Pl Campeyrau;Sens Sortant;;
Z10CT15;459;449;6588;-2,86%;-2,21%;-3,33%;;;;;;Talence Cours Galliéni après XIV Juillet;Sens Entrant;;
Z10CT21;563;645;9355;0,18%;-4,67%;1,51%;;;;;;Bordeaux Tauzin après Haut Brion;Sens Entrant;;
Z10CT22;546;354;4831;-4,87%;-8,33%;-5,52%;;;;;;Bordeaux Sourdis après Tondu;Sens Entrant;;
Z10CT23;592;675;9219;1,40%;-1,16%;2,44%;;;;;;Bordeaux Tauzin avant rue Haut Brion;Sens Sortant;;
Z11CT2;371;427;5524;-4,97%;-6,68%;-6,17%;;;;;;Talence Cours Gambetta avant Pt SNCF;Sens Entrant;;
Z11CT7;428;408;5099;7,27%;2,73%;9,35%;;;;;;Bordeaux Rue St Genès après Ségur;Sens Sortant;;
Z11CT8;245;277;3488;-5,57%;-2,91%;-4,85%;;;;;;Talence Cours Gambetta avant Combes;Sens Sortant;;
Z11CT15;369;365;4851;-1,93%;-5,90%;-3,22%;;;;;;Talence Cours Gambetta après Pt SNCF;Sens Sortant;;
Z12CT5;566;525;8585;3,25%;2,66%;0,36%;;;;;;Bordeaux Rte Toulouse avant Suzon;Sens Entrant;;
Z12CT7;527;584;8334;-11,63%;-9,09%;-8,75%;;;;;;Bordeaux Crs de la Somme après Brun;Sens Entrant;;
Z12CT12;850;867;12093;-4,83%;-1,37%;-0,92%;;;;;;Bordeaux Blvd Albert 1er après Daguin;Sud > Nord;;
Z13CT2;902;987;15718;8,01%;8,39%;6,65%;;;;;;Bordeaux Blvd Pierre 1eraprès Tivoli;Nord > Sud;;
Z13CT4;1292;1222;19777;4,07%;12,08%;2,82%;;;;;;Bordeaux Blvd Wilson après Colmar;Sud > Nord;;
Z13CT9;227;220;3002;-26,32%;-22,20%;-26,70%;;;;;;Bordeaux Rue Johnston avant Arsenal;Sens Entrant;;
Z13CT10;681;513;7267;-0,93%;3,58%;6,01%;;;;;;Bordeaux Rue Carnot sens entrant;Sens Entrant;;
Z14CT7;1656;1903;23510;1,43%;3,33%;1,95%;;;;;;Bordeaux Blvd Daney avant Latule;Sud > Nord;;
Z14CT9;2236;1616;26329;1,02%;0,35%;0,99%;;;;;;Bordeaux Blvd A d'Aquitaine avant Latule;Sens Entrant;;
Z14CT12;741;717;10191;44,03%;39,97%;35,60%;;;;;;Bordeaux Rue L. Faure après L. Fargue;Sens Entrant;;
Z14CT16;434;423;6577;31,60%;28,09%;21,89%;;;;;;Bordeaux Quai de Bacalan après L. Faure;Nord > Sud;;
Z14CT18;391;303;3972;-4,11%;-1,73%;-4,61%;;;;;;Bordeaux Quai de Bacalan après L. Faure;Sud > Nord;;
Z14CT19;652;691;8537;-2,17%;-1,24%;-1,30%;;;;;;Bordeaux Cours Balguerie Stuttenberg;Sens Sortant;;
Z14CT24;935;747;10967;1,08%;5,51%;6,70%;;;;;;Bordeaux Brazza avant le pont;Nord > Sud;;
Z15CT2;509;609;8459;2,10%;0,04%;-0,01%;;;;;;Bordeaux Cours Portal après Doumer;Sens Sortant;;
Z15CT4;486;491;7542;-3,19%;-7,04%;-1,96%;;;;;;Bordeaux Cours de Verdun après Doumer;Nord > Sud;;
Z15CT6;43;42;559;1,85%;-7,34%;-8,82%;;;;;;Bordeaux Crs E. de Fayolle après Doumer;Sens Sortant;;
Z15CT9;283;304;3701;-2,00%;-0,78%;-1,63%;;;;;;Bordeaux Rue Godard après Lagrange;de Lagrange  > Counord;;
Z15CT12;403;348;4928;-1,74%;-1,85%;0,14%;;;;;;Bordeaux Av. E. Counord avant Guillemin;Sens Entrant;;
Z15CT13;91;118;1833;-1,90%;11,01%;28,70%;;;;;;Bordeaux Av. E. Counord après Godard;Sens Sortant;;
Z15CT17;332;347;3748;11,75%;9,70%;14,27%;;;;;;Bordeaux Rue Mandron après rue Godard;Sens Sortant;;
Z16CT3;356;467;5444;84,06%;79,13%;103,24%;;;;;;Pessac Av. Jaurès après Jaubert;Sens Sortant;;
Z16CT6;276;355;4190;-0,47%;5,23%;1,14%;;;;;;Pessac Av. Jean Jaurès après Pujol;Sens Entrant;;
Z16CT9;298;374;3496;-12,50%;-13,35%;-14,83%;;;;;;Pessac Cordier après Cimetière;Sens Sortant;;
Z16CT13;311;330;3803;-20,35%;-20,58%;-22,72%;;;;;;Pessac Rue Cohé Centre après Pénard;Nord > Sud;;
Z16CT14;528;672;6409;-8,76%;-6,84%;-5,33%;;;;;;Pessac Rue Chateaubriand aprè Lamartine;Sud > Nord;;
Z17CT5;416;754;8501;4,39%;20,80%;2,53%;;;;;;Talence 552 Crs  Libération;Sens Entrant;;
Z17CT6;470;760;8638;2,32%;14,49%;1,79%;;;;;;Talence 455 Cours de la Libération;Sens Entrant;;
Z17CT7;376;454;5885;-10,11%;-8,40%;-7,29%;;;;;;Talence Libération après Suzon;Sens Entrant;;
Z18CT1;309;618;7048;-11,41%;-3,40%;-7,72%;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Sortant;;
Z18CT11;343;332;3972;-7,08%;5,53%;1,96%;;;;;;Gradignan F. de Monjous avant de Gaulle;Sud > Nord;;
Z18CT12;308;633;7003;-13,41%;-5,61%;-7,29%;;;;;;Gradignan Gal de Gaulle avant Lahouneau;Sens Sortant;;
Z18CT13;287;500;4902;16,09%;2,99%;8,45%;;;;;;Gradignan Lahouneau avant de Gaulle;Nord > Sud;;
Z19CT9;410;575;7120;-2,29%;-1,09%;1,26%;;;;;;Villenave d'Ornon Leclerc après rocade;Sens Entrant;;
Z19CT12;273;93;1353;26,94%;-8,39%;3,23%;;;;;;Villenave d'Ornon Leclerc avant Gaston;Sens Entrant;;
Z20CT1;819;1003;11849;-2,04%;-2,08%;-2,38%;;;;;;Bordeaux Av. de Gaulle après Bocage;Sens Sortant;;
Z20CT4;652;655;7686;6,59%;7,91%;9,03%;;;;;;Bordeaux Avenue Tassigny  avant Bleuets;Sens Entrant;;
Z20CT6;609;570;7983;-7,78%;3,69%;8,24%;;;;;;Bordeaux Av. Leclerc après St Amand;Sens Entrant;;
Z20CT7;367;496;4910;-0,14%;0,49%;0,32%;;;;;;Bordeaux Av. Barthou après La Cape;Sens Sortant;;
Z22CT8;1251;856;13015;7,75%;-1,02%;-1,27%;;;;;;Cenon Av. Carnot après 4 Pavillons;Sens Entrant;;
Z23CT3;592;792;10291;-19,95%;-4,91%;-8,80%;;;;;;Bruges Rte du Médocavant Croix du Vigean;Sens Sortant;;
Z24CT5;968;772;9799;4,53%;7,46%;7,07%;;;;;;Le Haillan Av. Pasteur après Los Héros;Sens Entrant;;
Z24CT6;734;762;8724;-0,24%;1,28%;1,62%;;;;;;Eysines Av. de St Médard;Sens Entrant;;
