Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201100003987,11,3,31,945,1,2,1,8.0,1.0,498,2 route du Lanot,M,0.0,0.0,330,3,3.0,2.0,,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,99.0
201100003988,11,9,2,1100,3,1,1,1.0,6.0,29,,M,44.66,-0.743,330,3,1010.0,,,2.0,2.0,66.0,500.0,0.0,1.0,1.0,0.0,79.0,1.0,0.0,3.0,99.0
201100003989,11,9,17,1415,1,1,1,2.0,6.0,29,,M,0.0,0.0,330,4,0.0,,,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,52.0,2.0,0.0,1.0,0.0
201100003990,11,12,7,1800,1,1,1,2.0,7.0,436,,M,0.0,0.0,330,3,5.0,,,2.0,2.0,77.0,450.0,0.0,0.0,1.0,0.0,70.0,2.0,0.0,3.0,0.0
201100003991,11,1,21,1600,1,2,1,1.0,6.0,284,04 rue maréchal LECLERC,M,0.0,0.0,330,9,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,1.0,0.0
201100003992,11,2,27,2030,5,2,1,1.0,6.0,51,108 AVE DE LA LIBERATION,M,0.0,0.0,330,9,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,78.0,1.0,0.0,1.0,0.0
201100003993,11,2,20,1445,1,1,9,1.0,2.0,555,,M,0.0,0.0,330,3,1250.0,,D,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201100003994,11,2,23,1815,2,1,1,2.0,5.0,19,,M,0.0,0.0,330,3,5.0,,D,2.0,2.0,51.0,500.0,0.0,1.0,1.0,0.0,75.0,2.0,0.0,1.0,0.0
201100003995,11,5,9,1445,1,1,1,1.0,7.0,284,,M,0.0,0.0,330,3,216.0,,,2.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,76.0,1.0,0.0,3.0,0.0
201100003996,11,6,16,1915,1,2,1,1.0,7.0,51,118 route de Bordeaux ?,M,0.0,0.0,330,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201100003997,11,9,16,1630,1,2,1,1.0,6.0,51,Avenue de la lib?ration,M,44.649,-0.983,330,3,3.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201100003998,11,9,23,830,1,1,1,1.0,3.0,19,,M,44.722,-0.904,330,3,5.0,,D,2.0,2.0,1.0,900.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201100003999,11,10,16,1830,1,1,1,1.0,7.0,284,,M,44.585,-0.954,330,3,216.0,,,2.0,2.0,14.0,800.0,0.0,1.0,1.0,0.0,68.0,1.0,0.0,3.0,0.0
201100004000,11,12,12,1730,5,2,1,2.0,6.0,51,,M,0.0,0.0,330,3,3.0,3.0,D,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,2.0,0.0,1.0,3.0
